"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000165995",495.716794559522,3.2893983190476,0.132351340887242,24.853532249817,2.36821462732605e-136,4.0768814809418e-132,"CACNB2","783"
"ENSG00000152583",998.347832303887,4.5731692557135,0.184376949695145,24.8033675753662,8.24544895134361e-136,7.09727018486902e-132,"SPARCL1","8404"
"ENSG00000120129",3412.85249640668,2.94606771835538,0.122540848291022,24.0415156206425,1.02405878806135e-127,5.87639067882538e-124,"DUSP1","1843"
"ENSG00000101347",12718.1902524577,3.76522496524258,0.157064144355264,23.9725303359244,5.380433311877e-127,2.31560398659906e-123,"SAMHD1","25939"
"ENSG00000189221",2344.09175807229,3.35193544505046,0.142696480408757,23.4899658032824,5.16531324010258e-122,1.77841734856732e-118,"MAOA","4128"
"ENSG00000211445",12302.4527224538,3.72865467487039,0.167632683826242,22.2430053004179,1.31824682528442e-109,3.78226984954521e-106,"GPX3","2878"
"ENSG00000157214",3013.15656495433,1.97498675410026,0.0912254542603256,21.6495140540965,6.14244965183068e-104,1.51060386794664e-100,"STEAP2","261729"
"ENSG00000162614",5399.60551792386,2.03389827847716,0.0958334972533953,21.2232500823724,5.82547595546963e-100,1.25356960716762e-96,"NEXN","91624"
"ENSG00000125148",3660.01255129015,2.20920147862474,0.106869742891933,20.6719078650604,6.20157214304167e-95,1.18622293824958e-91,"MT2A","4502"
"ENSG00000154734",30350.3132706143,2.34383191106465,0.117556402796957,19.9379349427093,1.90779434992031e-88,3.28426797338782e-85,"ADAMTS1","9510"
"ENSG00000139132",1224.80639039671,2.22710712317313,0.11328305086597,19.6596675861786,4.77847691791611e-86,7.47831637653871e-83,"FGD4","121512"
"ENSG00000162493",1100.86199326266,1.88952693081447,0.0961946393319388,19.6427466638164,6.66916769878469e-86,9.56747682788154e-83,"PDPN","10630"
"ENSG00000162692",509.163849829221,-3.69403916352264,0.189296233190639,-19.5145941430456,8.25218296649734e-85,1.09277945975578e-81,"VCAM1","7412"
"ENSG00000179094",777.312267668384,3.18997410104774,0.163923974476966,19.4600827074015,2.39398227560765e-84,2.94374320532755e-81,"PER1","5187"
"ENSG00000134243",5517.44303404156,2.19390894168323,0.113098245817279,19.3982579113358,7.98311047045344e-84,9.16194978325707e-81,"SORT1","6272"
"ENSG00000163884",561.673043743352,4.45754734638966,0.234140887558366,19.0378852359928,8.28041265501858e-81,8.90920649100906e-78,"KLF15","28999"
"ENSG00000178695",2654.78009879561,-2.53002360765207,0.135517744636899,-18.6693160695001,8.79720920446154e-78,8.90846802675326e-75,"KCTD12","115207"
"ENSG00000146250",314.356169637973,-2.75792191418838,0.15309813691014,-18.0140788767869,1.51074760589941e-72,1.37592283795939e-69,"PRSS35","167681"
"ENSG00000148848",1367.60855735521,-1.81631003545141,0.100828854005971,-18.0137923152815,1.51859041075971e-72,1.37592283795939e-69,"ADAM12","8038"
"ENSG00000198624",2059.45959501084,2.91668405563935,0.162351986564289,17.9651885841532,3.65035433737665e-72,3.14204249589695e-69,"CCDC69","26112"
"ENSG00000107562",25178.1255227054,-1.91344220401876,0.107405191263993,-17.8151743086206,5.38897657360676e-71,4.41767770069716e-68,"CXCL12","6387"
"ENSG00000106976",886.309949883218,-1.75807650781461,0.0998943475269406,-17.599359236422,2.49126824302592e-69,1.94941740016778e-66,"DNM1","1759"
"ENSG00000154930",670.901076794205,1.89674984462086,0.108371466710416,17.5022992877752,1.37600490658444e-68,1.02990975942831e-65,"ACSS1","84532"
"ENSG00000163394",1219.41671967623,-2.1903252976064,0.126138569509817,-17.3644374287591,1.53395988139818e-67,1.1002966399279e-64,"CCKAR","886"
"ENSG00000253368",1041.41989228884,1.98729007879782,0.115032416164656,17.275913564688,7.14332909208751e-67,4.91889641281146e-64,"TRNP1","388610"
