baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol	entrez	ENSEMBL
ENSG00000000003	709.698552070323	-0.383073503118865	0.100461613913689	-3.81313307835152	0.00013721617923953	0.00110561415649392	TSPAN6	7105	ENSG00000000003
ENSG00000000419	521.040352946189	0.205021546446923	0.111298733295809	1.8420833766546	0.0654629549706525	0.18648763359586	DPM1	8813	ENSG00000000419
ENSG00000000457	237.510887550647	0.0361482476379288	0.140619127253447	0.257064940907906	0.797128641371907	0.905421586250816	SCYL3	57147	ENSG00000000457
ENSG00000000460	58.0187622911179	-0.0916460733940051	0.278242478479699	-0.329374845619382	0.741872378312069	0.877332760365615	C1orf112	55732	ENSG00000000460
ENSG00000000971	5825.51369983003	0.42460383578872	0.0894391654470166	4.74740382098326	2.06044314520436e-06	2.50675114803484e-05	CFH	3075	ENSG00000000971
ENSG00000001036	1284.13628314818	-0.242854970359049	0.0893935722258272	-2.71669387755918	0.00659375635733993	0.0310565022412057	FUCA2	2519	ENSG00000001036
ENSG00000001084	610.858684156009	-0.0494254048211541	0.166298641012282	-0.297208711510179	0.76630717139446	0.889892139269657	GCLC	2729	ENSG00000001084
ENSG00000001167	369.894518559329	-0.502091196855666	0.119154121363137	-4.21379630944934	2.51113770224395e-05	0.000244232969175874	NFYA	4800	ENSG00000001167
ENSG00000001460	183.51904775626	-0.125863337258012	0.176167653982679	-0.714452025741272	0.474947711293495	0.692606933495766	STPG1	90529	ENSG00000001460
ENSG00000001461	2818.73830194513	-0.042832661592781	0.103586650351755	-0.413495961567749	0.679243280605985	0.839122574498172	NIPAL3	57185	ENSG00000001461
ENSG00000001497	540.614741793248	-0.00584410881148359	0.105991995109588	-0.0551372658420216	0.956029107438683	0.980579187592763	LAS1L	81887	ENSG00000001497
ENSG00000001561	114.262108799885	0.223760994238442	0.210619880388691	1.062392561545	0.288057509250604	0.518172416065742	ENPP4	22875	ENSG00000001561
ENSG00000001617	599.639824982836	-0.252032628941686	0.107570280869491	-2.34295780307075	0.0191315467123704	0.0730675119250008	SEMA3F	6405	ENSG00000001617
ENSG00000001629	1782.56178237754	-0.228475068184575	0.0814688162337135	-2.80444811581818	0.00504027990170182	0.0248762667740243	ANKIB1	54467	ENSG00000001629
ENSG00000001630	54.7984405274337	0.0108125557270743	0.302575777328729	0.0357350341211456	0.971493635193845	0.986854783313016	CYP51A1	1595	ENSG00000001630
ENSG00000001631	786.599600925522	-0.0384916590393439	0.103091389702683	-0.373374140656697	0.70887000296721	0.857990374821101	KRIT1	889	ENSG00000001631
ENSG00000002016	184.134747956086	-0.312229411627589	0.156202264519346	-1.99887890606681	0.0456214575797249	0.142743255586144	RAD52	5893	ENSG00000002016
ENSG00000002330	178.303933595295	0.0872054269624574	0.151323134329636	0.576286153130376	0.564421780678665	0.762199635580736	BAD	572	ENSG00000002330
ENSG00000002549	1255.40319725637	0.184895765626689	0.106387178119008	1.73795159243588	0.082219343736499	0.220125350299196	LAP3	51056	ENSG00000002549
ENSG00000002586	8297.59893184147	0.0879796355278168	0.0822667856766757	1.06944296904456	0.284870114135966	0.51442767385405	CD99	4267	ENSG00000002586
ENSG00000002745	6.91510227692163	-0.265849732261916	0.750543966805222	-0.35420940547099	0.723181955408546	0.866781129454718	WNT16	51384	ENSG00000002745
ENSG00000002746	108.591365655867	0.100764214597998	0.193275266701012	0.521350798360948	0.60212241972971	0.789649090545039	HECW1	23072	ENSG00000002746
ENSG00000002822	350.309565460438	-0.161921625845179	0.130499094296433	-1.24078735349204	0.21468431426774	0.429743077920831	MAD1L1	8379	ENSG00000002822
ENSG00000002834	7178.96790075237	0.394856947550049	0.0941725204012687	4.19291047821132	2.75398143586453e-05	0.000263534132398043	LASP1	3927	ENSG00000002834
ENSG00000002919	250.867998446101	0.40263390209234	0.137380328703913	2.93079734115436	0.00338093264203485	0.0177772152657101	SNX11	29916	ENSG00000002919
ENSG00000002933	540.946464494933	0.360050727692301	0.145464616262873	2.47517737950542	0.0133170017346697	0.0545968527893161	TMEM176A	55365	ENSG00000002933
